#2017-08-04#,H,1,recommendation,1
#2017-08-04#,H,1,letter,1
#2017-08-04#,H,1,hackers,1
#2017-08-04#,H,1,blow,1
#2017-08-04#,H,1,feasting,1
#2017-08-04#,H,1,false,1
#2017-08-04#,H,1,australian,1
#2017-08-04#,H,1,book,1
#2017-08-04#,H,1,layers,1
#2017-08-04#,H,1,loans,1
#2017-08-04#,H,1,chinese,1
#2017-08-04#,H,1,dairy,1
#2017-08-04#,H,1,wrapped,1
#2017-08-04#,H,1,deal,1
#2017-08-04#,H,1,governor,1
#2017-08-04#,H,2,briefing,3
#2017-08-04#,H,2,morning,1
#2017-08-04#,H,2,edition,1
#2017-08-04#,H,2,action,1
#2017-08-04#,H,2,justice,1
#2017-08-04#,H,2,affirmative,1
#2017-08-04#,H,2,college,1
#2017-08-04#,H,2,white,2
#2017-08-04#,H,2,dept,1
#2017-08-04#,H,2,admissions,1
#2017-08-04#,H,2,europe,1
#2017-08-04#,H,2,damage,1
#2017-08-04#,H,2,hbo,1
#2017-08-04#,H,2,cyberattack,1
#2017-08-04#,H,2,assesses,1
#2017-08-04#,H,3,house,2
#2017-08-04#,H,3,political,2
#2017-08-04#,H,3,game,1
#2017-08-04#,H,3,judith,1
#2017-08-04#,H,3,jones,1
#2017-08-04#,H,3,debate,1
#2017-08-04#,H,3,hold,1
#2017-08-04#,H,3,calculus,1
#2017-08-04#,H,3,gerrymandering,1
#2017-08-04#,H,3,crucial,1
#2017-08-04#,H,3,episode,1
#2017-08-04#,H,3,thrones,1
#2017-08-04#,H,3,mad,1
#2017-08-04#,H,3,queen,1
#2017-08-04#,H,3,recap,1
#2017-08-04#,H,4,care,1
#2017-08-04#,H,4,health,1
#2017-08-04#,H,4,australia,1
#2017-08-04#,H,4,president,1
#2017-08-04#,H,4,editorial,1
#2017-08-04#,H,4,reject,1
#2017-08-04#,H,4,bribery,1
#2017-08-04#,H,4,brazilian,1
#2017-08-04#,H,4,prosecution,1
#2017-08-04#,H,4,lawmakers,1
#2017-08-04#,H,4,shocker,1
#2017-08-04#,H,4,search,1
#2017-08-04#,H,4,battle,1
#2017-08-04#,H,4,california,1
#2017-08-04#,H,4,future,1
#2017-08-04#,H,5,protect,1
#2017-08-04#,H,5,travel,1
#2017-08-04#,H,5,tech,1
#2017-08-04#,H,5,trilobites,1
#2017-08-04#,H,5,worst,2
#2017-08-04#,H,5,enemy,1
#2017-08-04#,H,5,lyme,1
#2017-08-04#,H,5,foxes,1
#2017-08-04#,H,5,public,1
#2017-08-04#,H,5,crazy,1
#2017-08-04#,H,5,author,1
#2017-08-04#,H,5,story,1
#2017-08-04#,H,5,coincidence,1
#2017-08-04#,H,5,unusually,1
#2017-08-04#,H,5,spots,1
