#2017-08-04#,H,1,slams,1
#2017-08-04#,H,1,car,1
#2017-08-04#,H,1,officer,1
#2017-08-04#,H,1,survives,1
#2017-08-04#,H,1,ransomware,1
#2017-08-04#,H,1,resort,1
#2017-08-04#,H,1,bars,1
#2017-08-04#,H,1,viewing,1
#2017-08-04#,H,1,rooftop,1
#2017-08-04#,H,1,eclipse,1
#2017-08-04#,H,1,total,1
#2017-08-04#,H,1,solar,1
#2017-08-04#,H,1,arabia,1
#2017-08-04#,H,1,saudi,1
#2017-08-04#,H,1,bikinis,1
#2017-08-04#,H,2,naacp,1
#2017-08-04#,H,2,travel,1
#2017-08-04#,H,2,nice,1
#2017-08-04#,H,2,male,1
#2017-08-04#,H,2,navarro,1
#2017-08-04#,H,2,white,2
#2017-08-04#,H,2,history,1
#2017-08-04#,H,2,live,1
#2017-08-04#,H,2,eclipses,1
#2017-08-04#,H,2,weird,1
#2017-08-04#,H,2,father,1
#2017-08-04#,H,2,isis,1
#2017-08-04#,H,2,killed,1
#2017-08-04#,H,2,bombing,1
#2017-08-04#,H,2,girl,1
#2017-08-04#,H,3,who've,1
#2017-08-04#,H,3,shelter,1
#2017-08-04#,H,3,left,1
#2017-08-04#,H,3,stadium,1
#2017-08-04#,H,3,olympic,1
#2017-08-04#,H,3,seekers,1
#2017-08-04#,H,3,asylum,1
#2017-08-04#,H,3,north,1
#2017-08-04#,H,3,korea's,1
#2017-08-04#,H,3,cyber,1
#2017-08-04#,H,3,wars,1
#2017-08-04#,H,3,near,1
#2017-08-04#,H,3,millions,1
#2017-08-04#,H,3,hospital,1
#2017-08-04#,H,3,americans,1
#2017-08-04#,H,4,airport,1
#2017-08-04#,H,4,worker,1
#2017-08-04#,H,4,makes,1
#2017-08-04#,H,4,passenger,1
#2017-08-04#,H,4,holding,1
#2017-08-04#,H,4,punches,1
#2017-08-04#,H,4,baby,1
#2017-08-04#,H,4,launc,1
#2017-08-04#,H,4,navy,1
#2017-08-04#,H,4,historic,1
#2017-08-04#,H,4,ship,1
#2017-08-04#,H,4,looking,1
#2017-08-04#,H,4,examining,1
#2017-08-04#,H,4,investigators,1
#2017-08-04#,H,4,ties,1
#2017-08-04#,H,5,mueller,1
#2017-08-04#,H,5,island,1
#2017-08-04#,H,5,orgy,1
#2017-08-04#,H,5,italy's,1
#2017-08-04#,H,5,zannone,1
#2017-08-04#,H,5,forbidden,1
#2017-08-04#,H,5,protect,1
#2017-08-04#,H,5,care,1
#2017-08-04#,H,5,trump,3
#2017-08-04#,H,5,boaters,1
#2017-08-04#,H,5,float,1
#2017-08-04#,H,5,struggling,1
#2017-08-04#,H,5,bald,1
#2017-08-04#,H,5,senators,1
#2017-08-04#,H,5,prosecutor,1
#2017-08-04#,H,6,vegas,1
#2017-08-04#,H,6,beyond,1
#2017-08-04#,H,6,strip,1
#2017-08-04#,H,6,trail,1
#2017-08-04#,H,6,bridge,1
#2017-08-04#,H,6,bones,1
#2017-08-04#,H,6,towns,1
#2017-08-04#,H,6,mammoth,1
#2017-08-04#,H,6,tower,1
#2017-08-04#,H,6,goes,1
#2017-08-04#,H,6,flames,1
#2017-08-04#,H,6,dubai's,1
#2017-08-04#,H,6,torch,1
#2017-08-04#,H,6,guide,1
#2017-08-04#,H,6,colorado,1
#2017-08-04#,H,7,trump,3
#2017-08-04#,H,7,calls,1
#2017-08-04#,H,7,trump's,2
#2017-08-04#,H,7,transcripts,2
#2017-08-04#,H,7,reveal,1
#2017-08-04#,H,7,australia,1
#2017-08-04#,H,7,details,1
#2017-08-04#,H,7,wash,1
#2017-08-04#,H,7,leaders,1
#2017-08-04#,H,7,mexico,1
#2017-08-04#,H,7,post,1
#2017-08-04#,H,7,obtained,1
#2017-08-04#,H,7,issued,1
#2017-08-04#,H,7,grand,1
#2017-08-04#,H,7,jr.'s,1
#2017-08-04#,H,8,ghost,1
#2017-08-04#,H,8,sale,1
#2017-08-04#,H,8,desert,1
#2017-08-04#,H,8,town,1
#2017-08-04#,H,8,mojave,1
#2017-08-04#,H,8,prince,1
#2017-08-04#,H,8,philip,1
#2017-08-04#,H,8,retires,1
#2017-08-04#,H,8,allow,1
#2017-08-04#,H,8,environmental,1
#2017-08-04#,H,8,dhs,1
#2017-08-04#,H,8,wall,1
#2017-08-04#,H,8,construction,1
#2017-08-04#,H,8,laws,1
#2017-08-04#,H,8,waives,1
#2017-08-04#,T,1,fec,1
#2017-08-04#,T,1,potus,1
#2017-08-04#,T,1,realdonaldtrump,3
#2017-08-04#,T,1,time,1
#2017-08-04#,T,1,instead,1
#2017-08-04#,T,1,que,1
#2017-08-04#,T,1,rt,1
#2017-08-04#,T,1,#deepstate,1
#2017-08-04#,T,1,include,1
#2017-08-04#,T,1,actual,1
#2017-08-04#,T,1,#cosmopolitanbias,1
#2017-08-04#,T,1,doj,1
#2017-08-04#,T,1,funny,1
#2017-08-04#,T,1,wapo,1
#2017-08-04#,T,1,transcripts,2
#2017-08-04#,T,2,acosta,2
#2017-08-04#,T,2,cosmopolitan,1
#2017-08-04#,T,2,view,1
#2017-08-04#,T,2,jrcheneyjohn,1
#2017-08-04#,T,2,schools,1
#2017-08-04#,T,2,#buildthewall,1
#2017-08-04#,T,2,#raise,1
#2017-08-04#,T,2,immigration,2
#2017-08-04#,T,2,didn't,1
#2017-08-04#,T,2,cnn,2
#2017-08-04#,T,2,realdonaldtrump,3
#2017-08-04#,T,2,start,1
#2017-08-04#,T,2,jim,2
#2017-08-04#,T,2,totally,1
#2017-08-04#,T,2,boy,1
#2017-08-04#,T,3,miller,2
#2017-08-04#,T,3,stephen,2
#2017-08-04#,T,3,press,1
#2017-08-04#,T,3,ignorance,1
#2017-08-04#,T,3,drmartyfox,1
#2017-08-04#,T,3,briefing,1
#2017-08-04#,T,3,msm,1
#2017-08-04#,T,3,using,1
#2017-08-04#,T,3,expose,1
#2017-08-04#,T,3,exchange,1
#2017-08-04#,T,3,trump's,2
#2017-08-04#,T,3,completely,1
#2017-08-04#,T,3,the_trump_train,1
#2017-08-04#,T,3,journalism,1
#2017-08-04#,T,3,reform,1
#2017-08-04#,T,4,#firehannity,1
#2017-08-04#,T,4,trump,3
#2017-08-04#,T,4,cnn,2
#2017-08-04#,T,4,msnbc,1
#2017-08-04#,T,4,sebgorka,1
#2017-08-04#,T,4,washingtonpost,1
#2017-08-04#,T,4,nytimes,1
#2017-08-04#,T,4,huffpost,1
#2017-08-04#,T,4,politico,1
#2017-08-04#,T,4,rest,1
#2017-08-04#,T,4,political,1
#2017-08-04#,T,4,clock,1
#2017-08-04#,T,4,donald,1
#2017-08-04#,T,4,week,1
#2017-08-04#,T,4,straight,1
#2017-08-04#,T,5,fakenews,1
#2017-08-04#,T,5,ha,1
#2017-08-04#,T,5,il,1
#2017-08-04#,T,5,che,1
#2017-08-04#,T,5,via,1
#2017-08-04#,T,5,russian,1
#2017-08-04#,T,5,collusion,1
#2017-08-04#,T,5,opposite,1
#2017-08-04#,T,5,di,1
#2017-08-04#,T,5,le,1
#2017-08-04#,T,5,gli,1
#2017-08-04#,T,5,facebook,1
#2017-08-04#,T,5,sono,1
#2017-08-04#,T,5,questi,1
#2017-08-04#,T,5,dato,1
#2017-08-04#,T,6,jim,2
#2017-08-04#,T,6,stephen,2
#2017-08-04#,T,6,watch,1
#2017-08-04#,T,6,acosta,2
#2017-08-04#,T,6,miller,2
#2017-08-04#,T,6,today's,1
#2017-08-04#,T,6,american,1
#2017-08-04#,T,6,miller's,1
#2017-08-04#,T,6,epic,1
#2017-08-04#,T,6,reporter,1
#2017-08-04#,T,6,cnn's,1
#2017-08-04#,T,6,lucianwintrich,1
#2017-08-04#,T,6,shutdown,1
#2017-08-04#,T,6,immigration,2
#2017-08-04#,T,6,liberty,1
#2017-08-04#,T,7,news,1
#2017-08-04#,T,7,real,1
#2017-08-04#,T,7,listening,1
#2017-08-04#,T,7,red,1
#2017-08-04#,T,7,report,1
#2017-08-04#,T,7,roses,1
#2017-08-04#,T,7,blue,1
#2017-08-04#,T,7,violets,1
#2017-08-04#,T,7,stacylstiles,1
#2017-08-04#,T,7,nobody's,1
#2017-08-04#,T,7,white,2
#2017-08-04#,T,7,house,1
#2017-08-04#,T,7,https://t.co/04edalnf3i,1
#2017-08-04#,T,7,dump,1
#2017-08-04#,T,7,#usa,1
#2017-08-04#,T,8,media,1
#2017-08-04#,T,8,#thursdaythoughts,1
#2017-08-04#,T,8,#maga,1
#2017-08-04#,T,8,#cnn,1
#2017-08-04#,T,8,world,1
#2017-08-04#,T,8,hates,1
#2017-08-04#,T,8,michaelbeatty,1
#2017-08-04#,T,8,#jimacosta,1
#2017-08-04#,T,8,doing,1
#2017-08-04#,T,8,realdonaldtrump,3
#2017-08-04#,T,8,wasn't,1
#2017-08-04#,T,8,https://t.co/cs2ac5zxv,1
#2017-08-04#,T,8,hahahahaha,1
#2017-08-04#,T,8,transcript,1
#2017-08-04#,T,8,lied,1
#2017-08-05#,H,1,live,1
#2017-08-05#,H,1,newlyweds,1
#2017-08-05#,H,1,bash,1
#2017-08-05#,H,1,president,2
#2017-08-05#,H,1,groped,1
#2017-08-05#,H,1,testify,1
#2017-08-05#,H,1,taylor,1
#2017-08-05#,H,1,swift,1
#2017-08-05#,H,1,dj,1
#2017-08-05#,H,1,fe,1
#2017-08-05#,H,1,photog,1
#2017-08-05#,H,1,trump-cation,1
#2017-08-05#,H,1,ruin,1
