#2017-08-04#,0.087,"('001',)"
#2017-08-04#,0.068,"('002',)"
#2017-08-04#,0.037,"('003',)"
#2017-08-04#,0.039,"('004',)"
#2017-08-04#,0.067,"('001', '002', '003', '004')"
#2017-08-05#,0.081,"('001',)"
#2017-08-05#,0.054,"('002',)"
#2017-08-05#,0.057,"('003',)"
#2017-08-05#,0.089,"('004',)"
#2017-08-05#,0.088,"('001', '002', '003', '004')"
#2017-08-06#,0.024,"('001',)"
#2017-08-06#,0.04,"('002',)"
#2017-08-06#,0.076,"('003',)"
#2017-08-06#,0.032,"('004',)"
#2017-08-06#,0.073,"('001', '002', '003', '004')"
#2017-08-07#,0.0,"('001',)"
#2017-08-07#,0.016,"('002',)"
#2017-08-07#,0.104,"('003',)"
#2017-08-07#,0.04,"('004',)"
#2017-08-07#,0.069,"('001', '002', '003', '004')"
#2017-08-08#,0.027,"('001',)"
#2017-08-08#,0.062,"('002',)"
#2017-08-08#,0.11,"('003',)"
#2017-08-08#,0.056,"('004',)"
#2017-08-08#,0.093,"('001', '002', '003', '004')"
#2017-08-09#,0.052,"('001',)"
#2017-08-09#,0.048,"('002',)"
#2017-08-09#,0.035,"('003',)"
#2017-08-09#,0.078,"('004',)"
#2017-08-09#,0.079,"('001', '002', '003', '004')"
#2017-08-10#,0.061,"('001',)"
#2017-08-10#,0.08,"('002',)"
#2017-08-10#,0.12,"('003',)"
#2017-08-10#,0.074,"('004',)"
#2017-08-10#,0.147,"('001', '002', '003', '004')"
#2017-08-11#,0.044,"('001',)"
#2017-08-11#,0.051,"('002',)"
#2017-08-11#,0.055,"('003',)"
#2017-08-11#,0.053,"('004',)"
#2017-08-11#,0.102,"('001', '002', '003', '004')"
#2017-08-12#,0.083,"('001',)"
#2017-08-12#,0.048,"('002',)"
#2017-08-12#,0.167,"('003',)"
#2017-08-12#,0.045,"('004',)"
#2017-08-12#,0.078,"('001', '002', '003', '004')"
#2017-08-13#,0.098,"('001',)"
#2017-08-13#,0.084,"('002',)"
#2017-08-13#,0.112,"('003',)"
#2017-08-13#,0.073,"('004',)"
#2017-08-13#,0.062,"('001', '002', '003', '004')"
#2017-08-14#,0.115,"('001',)"
#2017-08-14#,0.067,"('002',)"
#2017-08-14#,0.105,"('003',)"
#2017-08-14#,0.098,"('004',)"
#2017-08-14#,0.099,"('001', '002', '003', '004')"
