#2017-08-04#,0.087
#2017-08-05#,0.065
#2017-08-06#,0.047
#2017-08-07#,0.106
#2017-08-08#,0.116
#2017-08-09#,0.092
#2017-08-10#,0.137
#2017-08-11#,0.105
#2017-08-12#,0.08
#2017-08-13#,0.143
