Fri Aug 04 00:14:29 +0000 2017	893263836840460292							
Fri Aug 04 00:14:29 +0000 2017	893263837272522753							
Fri Aug 04 00:14:30 +0000 2017	893263842599346178							
Fri Aug 04 00:14:31 +0000 2017	893263845690626048							
Fri Aug 04 00:14:31 +0000 2017	893263845954912256							
Fri Aug 04 00:14:33 +0000 2017	893263853286502400							
Fri Aug 04 00:14:33 +0000 2017	893263855387803648							
Fri Aug 04 00:41:13 +0000 2017	893270565301084165							
Fri Aug 04 00:41:14 +0000 2017	893270571051393024							
Fri Aug 04 00:41:21 +0000 2017	893270596808695809							
Fri Aug 04 00:41:21 +0000 2017	893270598700249089							
Fri Aug 04 00:41:22 +0000 2017	893270602303262721							
Fri Aug 04 00:41:24 +0000 2017	893270612898070528							
Fri Aug 04 00:41:25 +0000 2017	893270614525452290							
Fri Aug 04 00:41:28 +0000 2017	893270626189942785							
Fri Aug 04 00:41:29 +0000 2017	893270630065258497							
Fri Aug 04 00:41:29 +0000 2017	893270630761508864							
Fri Aug 04 00:41:29 +0000 2017	893270633790021633							
Fri Aug 04 00:41:32 +0000 2017	893270644724334593							
Fri Aug 04 00:41:39 +0000 2017	893270673493172229							
Fri Aug 04 00:41:39 +0000 2017	893270674323775488							
Fri Aug 04 00:41:40 +0000 2017	893270679814119424							
Fri Aug 04 00:41:41 +0000 2017	893270684041969664							
Fri Aug 04 00:41:45 +0000 2017	893270700084965376							
Fri Aug 04 00:41:45 +0000 2017	893270700252815360							
Fri Aug 04 00:41:46 +0000 2017	893270704740720642							
Fri Aug 04 00:41:47 +0000 2017	893270707223777281							
Fri Aug 04 00:41:54 +0000 2017	893270736843939842							
Fri Aug 04 00:41:55 +0000 2017	893270742401298432							
Fri Aug 04 00:41:58 +0000 2017	893270752039804929							
Fri Aug 04 00:42:00 +0000 2017	893270760420032516							
Fri Aug 04 00:42:02 +0000 2017	893270769114992640							
Fri Aug 04 00:42:04 +0000 2017	893270779483127808							
Fri Aug 04 00:42:09 +0000 2017	893270799464882178							
Fri Aug 04 00:42:11 +0000 2017	893270807002087425							
Fri Aug 04 00:42:11 +0000 2017	893270807660699652							
Fri Aug 04 00:42:18 +0000 2017	893270838618849280							
Fri Aug 04 00:42:20 +0000 2017	893270844918702080							
Fri Aug 04 00:42:23 +0000 2017	893270860429053952							
Fri Aug 04 00:42:26 +0000 2017	893270869107236869							
Fri Aug 04 00:42:31 +0000 2017	893270891731144709							
Fri Aug 04 00:42:36 +0000 2017	893270911528325120							
Fri Aug 04 00:42:38 +0000 2017	893270921703604226							
Fri Aug 04 00:42:40 +0000 2017	893270928142073856							
Fri Aug 04 00:42:40 +0000 2017	893270928934793216							
Fri Aug 04 00:42:44 +0000 2017	893270947763019777							
Fri Aug 04 00:42:46 +0000 2017	893270954012319745							
Fri Aug 04 00:42:46 +0000 2017	893270955254009856							
Fri Aug 04 00:42:50 +0000 2017	893270970714263552							
Fri Aug 04 00:42:51 +0000 2017	893270974694658048							
Fri Aug 04 00:42:55 +0000 2017	893270992855867393							
Fri Aug 04 00:42:57 +0000 2017	893271000246345728							
Fri Aug 04 00:42:58 +0000 2017	893271003240869888							
Fri Aug 04 00:43:01 +0000 2017	893271019556937728							
Fri Aug 04 00:43:02 +0000 2017	893271022828257283							
Fri Aug 04 00:43:03 +0000 2017	893271025021878273							
